id	sentence	sentiment
185a6fb3-41d3-4c92-bd8f-c81b6acdf44e	The film was average, with nothing particularly good or bad to say.	2
f1dff622-9174-4956-862f-3b2c309b2449	Terribly executed and painfully boring.	0
034da459-2e34-43cf-a423-9ea4ea8d9d9e	A complete waste of time, nothing redeeming about it.	0
cc841223-ec05-4f6e-a8e4-8290a5666784	An outstanding performance by the cast in a truly remarkable movie.	4
916a613f-8097-4a30-ad52-b1860c10602e	Nothing special, just another movie that fades into the background.	2
79c05d0a-513a-4775-bc60-ae8f21041c60	A thrilling ride from start to finish, with enough twists to keep you engaged.	3
e01bbaa0-9672-4016-9651-d796112c1e8b	The film was average, with nothing particularly good or bad to say.	2
564e2af0-add4-49d5-9182-00d6b4c3cea5	This is one of the worst films I've seen in a long time.	0
0be437f0-5d24-48cf-abdd-0f38cadbb06c	Terribly executed and painfully boring.	0
52251cd5-9cf6-4d51-aa15-34faea8e9a87	The movie is fine for a one-time watch but lacks any lasting impact.	2
367c3fd4-f5c8-44e3-9b3d-88f1a287c8f0	The film was average, with nothing particularly good or bad to say.	2
dc117545-967f-467e-a5b8-42c0ae6c445b	The story was predictable, but the acting was decent.	2
f631ef8b-ca26-4b78-bb9b-0851bd6eeeb7	Despite a few strong performances, the plot ultimately falls flat.	1
6778b832-b10c-4e0f-8cb0-1183ffc32c16	The storyline is incoherent and the acting is abysmal.	0
933f85a1-a197-4777-8b5e-385fe5493522	Some aspects of the film were interesting, but overall it disappointed.	1
69b4c8ff-72b6-43c7-aa3d-e485d9fde2d0	An uninspired plot and lackluster performances make this a movie to skip.	0
31396384-a8e7-4331-b545-d38faed507b8	Nothing special, just another movie that fades into the background.	2
186a871c-27e4-4beb-a40c-9c1148b8aa47	An exceptional film that sets a new standard for the genre.	4
a0294caa-c2b9-40eb-8f3d-fca693d0f3c5	The film is a poignant exploration of love and loss, leaving the audience deeply moved.	4
b4fd8fef-23c3-4946-a2fd-8425f2a59e87	The movie fails to deliver on its promising premise, resulting in a forgettable experience.	1
01f86164-dc68-4a96-9a5c-87fb77ff4e60	An outstanding performance by the cast in a truly remarkable movie.	4
9e70e96b-c1c5-4f0e-aaef-d01518cb4269	The film was average, with nothing particularly good or bad to say.	2
d6ba7bb1-901d-422b-bfe9-116467620229	The film was average, with nothing particularly good or bad to say.	2
2571215e-f1d2-469f-9420-3b19fbb3b5bc	The movie is fine for a one-time watch but lacks any lasting impact.	2
d32d225a-5bd6-414c-b910-546dfbf7886b	Terribly executed and painfully boring.	0
c8b9120c-1be9-41ef-bbdd-22c4fe8a893e	The movie is fine for a one-time watch but lacks any lasting impact.	2
19816919-5f7f-4c8e-bc7d-66939640327b	It’s a typical movie that doesn’t stand out in any way.	2
a8973067-433c-4f4c-b7f0-44157fec5ff2	An exceptional film that sets a new standard for the genre.	4
4fcb5905-4046-4747-980f-53953e8d3b60	A thrilling ride from start to finish, with enough twists to keep you engaged.	3
5bd4dbbb-40fb-4731-99d5-77a6fcfbbde1	An exceptional film that sets a new standard for the genre.	4
d8bb1da2-4467-4e5e-a721-988c2f980a49	This is one of the worst films I've seen in a long time.	0
5c1d9864-614d-4e67-8be7-b131f518446b	A solid movie with strong performances, though not without its flaws.	3
698258c1-fff6-4251-9a08-9af299ddea59	The story was predictable, but the acting was decent.	2
04c73086-34d5-472a-ab42-357556ebc34a	The movie fails to deliver on its promising premise, resulting in a forgettable experience.	1
930c3072-1d40-4116-a026-cc57d9c93ca2	The movie is fine for a one-time watch but lacks any lasting impact.	2
6c2d9b4a-130b-4863-8711-4f1a1ac6a18f	The movie is fine for a one-time watch but lacks any lasting impact.	2
d47d20ed-6781-45ae-84a4-4b1fca057cbd	An enjoyable film that offers a satisfying experience overall.	3
d74e5b1f-b688-4190-b4d2-6dd0ff103c90	The movie fails to deliver on its promising premise, resulting in a forgettable experience.	1
264e47b7-e974-4f2c-99da-7c3e768b1836	The movie fails to deliver on its promising premise, resulting in a forgettable experience.	1
c6c7eb47-9d75-4219-a4f5-77cabd08a4ec	A solid movie with strong performances, though not without its flaws.	3
07090e60-1aaf-46d0-bb2c-1cc9fd014c7b	A visual masterpiece with a soundtrack that perfectly complements its epic scope.	4
1ef54e50-dbe4-456e-8099-929f7cb2cb53	It’s a typical movie that doesn’t stand out in any way.	2
f9c38d0e-24ad-44c2-8ead-b87e55c36b2e	Nothing special, just another movie that fades into the background.	2
afa71168-c807-4c0c-a5b0-2b3a681fb003	The film was average, with nothing particularly good or bad to say.	2
4831e206-79b8-4fc5-9267-f1555d71aa36	An uninspired plot and lackluster performances make this a movie to skip.	0
b1a54340-00c6-4aa0-b554-5073d896ede5	The movie fails to deliver on its promising premise, resulting in a forgettable experience.	1
a16942e7-6900-42d2-af96-af97c5a11b0a	The story was predictable, but the acting was decent.	2
ca57463b-747a-4630-9523-bca5439c2964	A mediocre effort that struggles to find its footing in a crowded genre.	1
94d8da03-e3b0-4b88-8ff3-715553e39671	An uninspired plot and lackluster performances make this a movie to skip.	0
028ae8aa-2238-44ff-85ea-e2f073688541	An outstanding performance by the cast in a truly remarkable movie.	4
2d2b423d-c8b4-41dc-a8c3-30d8ce0b19f0	An outstanding performance by the cast in a truly remarkable movie.	4
edc9dbf1-1769-4384-a1a9-d6360da9f930	It’s a typical movie that doesn’t stand out in any way.	2
14af1bd2-deda-483e-ad7d-ef8022521307	This is one of the worst films I've seen in a long time.	0
12d87383-3a1f-4e9d-9b5b-e6703efde513	The storyline is incoherent and the acting is abysmal.	0
e3396e2f-0cc1-4dd4-bc43-b5db5880b26d	One of the best films of the year, an absolute must-see.	4
da2fce12-12ce-4157-879f-f151e8a56966	An exceptional film that sets a new standard for the genre.	4
5c87b93d-7faf-441e-9eea-7dbf600c687c	A thrilling ride from start to finish, with enough twists to keep you engaged.	3
8dae28ea-494a-40a5-a35f-3d5017445011	The film had potential, but it was bogged down by poor pacing.	1
873ef44a-2d90-4139-b4ab-56c46f4bccb2	Terribly executed and painfully boring.	0
cf34e69d-66c5-45b4-9fdd-61c06c77d9de	Nothing special, just another movie that fades into the background.	2
de00f036-8a7a-47f5-9007-756f5844d68f	A mediocre effort that struggles to find its footing in a crowded genre.	1
42184ec5-48ae-455c-9969-2b7a42d59115	The movie is fine for a one-time watch but lacks any lasting impact.	2
55de1c6a-f9f9-4c35-93f6-ad48f6dcf58b	An outstanding performance by the cast in a truly remarkable movie.	4
31958536-255f-4a5f-bd01-fbc9632b02ca	The movie is fine for a one-time watch but lacks any lasting impact.	2
0e52e1c3-0a0d-4901-8a5b-ed714b03839e	A complete waste of time, nothing redeeming about it.	0
65f16080-e1de-4d25-97b7-554a05e84228	Nothing special, just another movie that fades into the background.	2
2ba5a9b0-6b57-4e8e-9eb7-0c82aa4017e2	The film had potential, but it was bogged down by poor pacing.	1
3b09d88d-72d9-4109-8e0e-681dc1a1aef0	The story was predictable, but the acting was decent.	2
6c81f55f-d8a5-4faf-bb14-b3d605f05bab	An enjoyable film that offers a satisfying experience overall.	3
6b673111-3ccb-41e1-b725-974d5206dadc	An outstanding performance by the cast in a truly remarkable movie.	4
a17d4e22-b837-4ea9-91ca-d0586665d507	Despite a few strong performances, the plot ultimately falls flat.	1
13b6d77b-0009-4262-8fc2-64d7e98eefc8	An exceptional film that sets a new standard for the genre.	4
e0acc53c-1013-4bee-b355-7edf9beda390	An exceptional film that sets a new standard for the genre.	4
63e04e15-43f1-4609-a307-96b659183895	A visual masterpiece with a soundtrack that perfectly complements its epic scope.	4
959cced8-8b12-4fa8-8330-c50a4d1c1eaf	A solid movie with strong performances, though not without its flaws.	3
4cb622d1-7117-47d9-9611-f6f352e99072	An enjoyable film that offers a satisfying experience overall.	3
dc3dca84-0e31-491b-8433-5958a985131c	An uninspired plot and lackluster performances make this a movie to skip.	0
7a2e106f-7680-4398-9bcd-72bf1ab93ce2	The movie had some great moments, even if it wasn’t perfect.	3
